,artists,track_name,totalstreams,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity,follower
130,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
131,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
132,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
133,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
134,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
135,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
136,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
137,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
138,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
139,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
140,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
141,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
142,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
143,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
144,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
145,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
146,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
147,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
148,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
149,GLASSANIMALS,HEATWAVES,540754791,238805.0,0,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,80,3645852
