,artists,popularity,follower
711,Incubus,70,3013551
712,IceCube,77,6557115
713,Itzyungbaby,0,45082
714,DeadOrAlive,60,341355
715,SamFeldt,74,734928
716,DianeGuerrero,65,5546
717,SHAED,62,158022
718,Offset,80,2633978
719,TheJ.GeilsBand,59,743630
720,CashmereCat,57,320406
721,RobinThicke,66,1917479
722,dvsn,63,1139458
723,Chlöe,65,247695
724,EdIvory,39,938
725,CoreyKent,63,48687
726,She&Him,53,414259
727,WilburSoot,65,1625220
728,BLACKPINK,87,37438009
729,JayElectronica,61,293649
730,AndrewAndraos,20,10377
731,ABBA,82,9650782
732,Camilo,82,17421160
733,JamesBrown,65,2003034
734,TheKillers,79,6860053
735,LewisCapaldi,83,10476828
736,FrancescoYates,62,38211
737,Hotboii,65,352171
738,GoodGas,41,38512
739,EdSheeran,92,109386026
740,FortMinor,63,572210
741,Beyoncé,89,33556387
742,DonnyHathaway,62,521408
743,girlinred,77,5766051
744,RayParkerJr.,55,65521
745,YG,77,3028023
746,Fousheé,65,173791
747,JamesBay,73,3827871
748,FourTops,65,1001051
749,Y2K,65,287276
750,RodneyAtkins,63,1832847
751,MajorLazer,76,6333535
752,MartinSolveig,66,1210333
753,AugustAlsina,64,2467714
754,JimmyBuffett,68,734053
755,Zacari,69,83429
756,YBNNahmir,67,2944176
757,CharliXCX,78,2782566
758,JohnCarpenter,52,115678
759,JasonDerulo,81,11718548
760,A$APANT,65,269468
761,LilTjay,82,6202658
762,Karinah,38,2563
763,BlancoBrown,61,139302
764,LiamPayne,67,9996634
765,PhilCollins,77,4988635
766,The1975,83,6321028
767,SoFaygo,69,544782
768,DexysMidnightRunners,63,213341
769,OllyMurs,68,3281364
770,ROZES,62,114472
771,Surfaces,71,882966
772,NatalieCole,65,537522
773,Logic,79,5841811
774,AndrewGold,52,55478
775,SAINtJHN,73,931000
776,Jimin,75,3825721
777,DripReport,55,101135
778,QualityControl,69,1153547
779,HeadieOne,72,470389
780,KONGOS,55,273579
781,Mumford&Sons,74,6430636
782,JessieMurph,71,468404
783,SashaAlexSloan,72,1244989
784,Lorde,78,9915839
785,NicoleAtkins,38,30639
786,"Earth,Wind&Fire",75,3778810
787,CKay,74,1216342
788,Mariami,26,1746
789,HayleyKiyoko,63,1623747
790,JamesHersey,50,52490
791,YellowClaw,66,1028007
792,FloridaGeorgiaLine,77,5104731
793,LaurenSpencerSmith,71,856963
794,TaylorSwift,99,67786574
795,Lunay,73,7939304
796,Silentó,52,225722
797,Radiohead,82,7844749
798,Eminem,94,65941945
799,SelenaGomez,87,40064559
800,NF,81,7890048
801,ElijahBlake,44,222785
802,Audien,62,175787
803,AlecBenjamin,78,4136169
804,Grimes,71,1919872
805,KateHavnevik,33,26156
806,TomPetty,70,2128971
807,BestCoast,48,313728
808,TonesAndI,73,2994977
809,THE7,35,8039
810,QueenNaija,65,2627386
811,Palisades,50,163775
812,Ghost,77,2206663
813,50Cent,85,10097048
814,JoshTurner,66,2512466
815,KeysNKrates,52,191902
816,JordiRivera,27,4416
817,LanaDelRey,91,20930392
818,TaylorSwift,99,67786574
819,PetitBiscuit,64,931935
820,Diddy,75,1422994
821,Coldplay,90,41840199
822,SethMacFarlane,52,72145
823,BebeRexha,85,7968124
824,LillyWoodandThePrick,64,241933
825,PedroCapó,70,1554561
826,CamilaCabello,83,29372035
827,CORPSE,72,2278150
828,Mora,86,1399155
829,MykolaDmytrovychLeontovych,57,4319
830,SebastianYatra,83,20915031
831,bbno$,74,1174466
832,BenPlatt,66,462645
833,Khalid,87,15795867
834,HAIM,67,1240872
835,Cordae,71,1881077
836,MadeinTYO,65,1016174
837,Akon,82,3601534
838,JohnLegend,80,6402286
839,DillonFrancis,68,1118080
840,SylvanEsso,60,523911
841,Wham!,74,2204038
842,JustinTimberlake,82,12625563
843,GhostTownDJs,47,32160
844,DennisLloyd,68,628565
845,NellyFurtado,78,3339308
846,PhillipaSoo,67,57464
847,IngridAndress,65,118917
848,Bandaide,12,117
849,ChuckBerry,69,1744001
850,DJKhaled,80,9189911
851,KealaSettle,67,147551
852,LouisTomlinson,73,6669577
853,PinkFloyd,82,18352453
854,BassSantana,58,160343
855,TheHeadAndTheHeart,65,1027566
856,SurfCurse,72,869565
857,JamesBlunt,72,2732214
858,NikoMoon,59,89762
859,WALKTHEMOON,70,2024334
860,IvanCornejo,79,940910
861,SystemOfADown,81,8850253
862,SZA,96,10659506
863,Trans-SiberianOrchestra,57,305708
864,Motörhead,68,3537436
865,JohnLennon,73,5275993
866,Alvin&TheChipmunks,54,182435
867,MGMT,76,2711198
868,DarylHall&JohnOates,74,2024555
869,TravisMills,37,116052
870,KatDahlia,55,298042
871,LiSA,68,2779025
872,SebastianYatra,83,20915031
873,Daya,71,1460854
874,TheCranberries,74,3230292
875,OliverTree,84,2166219
876,TheNotoriousB.I.G.,80,8535482
877,ModestMouse,66,1352555
878,"Tyler,TheCreator",87,10472380
879,Kina,71,760903
880,JamesonRodgers,60,64479
881,Autumn!,66,288230
882,MichaelBublé,80,5706426
883,Blackstreet,65,697244
884,KatieGregson-MacLeod,55,84915
885,JayRock,74,1357611
886,LondonSinfonietta,50,6764
887,BryceVine,67,476474
888,JamesArthur,83,11099674
889,Likybo,46,45049
890,KennyChesney,72,4181179
891,Ajdaguru,10,4079
892,DannyOcean,80,4720527
893,MoneyMan,70,500548
894,CleanBandit,77,5078130
895,BenHoward,67,1966822
896,LadyGaga,89,25118351
897,AshleyCooke,61,64174
898,AaronCarter,48,306208
899,CobraStarship,60,491211
900,FrenchMontana,77,4870662
901,Hanson,61,438682
902,JaxJones,75,1085029
903,SnowPatrol,70,2767233
904,LilSkies,72,4906268
905,MarilynManson,71,3842874
906,Ms.LaurynHill,74,2364574
907,Maroon5,87,39611893
908,MachineGunKelly,82,4975068
909,DUSTYLOCANE,66,355778
910,TheCitizensofHalloween,49,15585
911,JPCooper,70,833544
912,"Bobby""Boris""Pickett",42,17621
913,Mozzy,67,697982
914,ClaireRosinkranz,65,345921
915,BoyWithUke,78,3036099
916,BIA,71,418374
917,OtisRedding,72,2044003
918,RauwAlejandro,91,15591777
919,StephenSanchez,81,451496
920,YoungBoyNeverBrokeAgain,86,10470083
921,EddieRabbitt,56,347900
922,ACRAZE,72,84662
923,LennonStella,68,359965
924,CageTheElephant,76,3149706
925,BeckyG,80,13053714
926,AdamLambert,64,1443658
927,Arcángel,88,9849210
928,ClintonKane,71,865368
929,PaulSimon,70,2030204
930,TheWeeknd,98,58464012
931,ConanGray,82,7538510
932,NateRuess,66,222878
933,WhitneyHouston,79,8888836
934,BishopBriggs,65,792772
935,CountingCrows,70,1604450
936,TheStrokes,78,4784354
937,AnuelAA,90,26782414
